date,category,description,amount
2024-01-05,Food,Grocery shopping,85.50
2024-01-08,Transport,Uber ride,24.00
2024-01-10,Food,Restaurant dinner,62.30
2024-01-12,Utilities,Electric bill,120.00
2024-01-15,Entertainment,Movie tickets,32.00
2024-01-18,Food,Coffee and snacks,15.75
2024-01-20,Shopping,New headphones,149.99
2024-01-22,Transport,Gas station,45.00
2024-01-25,Food,Grocery shopping,92.40
2024-01-28,Utilities,Internet bill,79.99
2024-02-01,Food,Restaurant lunch,28.50
2024-02-03,Entertainment,Concert tickets,85.00
2024-02-05,Transport,Parking fee,12.00
2024-02-08,Food,Grocery shopping,78.25
2024-02-10,Shopping,Winter jacket,199.00
2024-02-12,Utilities,Water bill,45.00
2024-02-15,Food,Fast food,18.99
2024-02-18,Transport,Train ticket,35.00
2024-02-20,Entertainment,Streaming subscription,15.99
2024-02-22,Food,Grocery shopping,88.75
